"",46.800
336.0000,-3.3348E+002
337.0000,-3.3317E+002
338.0000,-3.3271E+002
339.0000,-3.3238E+002
340.0000,-3.3191E+002
341.0000,-3.3142E+002
342.0000,-3.3130E+002
343.0000,-3.3144E+002
344.0000,-3.3154E+002
345.0000,-3.3146E+002
346.0000,-3.3131E+002
347.0000,-3.3112E+002
348.0000,-3.3105E+002
349.0000,-3.3112E+002
350.0000,-3.3079E+002
351.0000,-3.3016E+002
352.0000,-3.2984E+002
353.0000,-3.2928E+002
354.0000,-3.2860E+002
355.0000,-3.2777E+002
356.0000,-3.2704E+002
357.0000,-3.2626E+002
358.0000,-3.2556E+002
359.0000,-3.2556E+002
360.0000,-3.2621E+002
361.0000,-3.2684E+002
362.0000,-3.2753E+002
363.0000,-3.2793E+002
364.0000,-3.2808E+002
365.0000,-3.2792E+002
