"",46.800
318.0000,-1.5543E+001
319.0000,-8.3888E+000
320.0000,-5.3842E-001
321.0000,5.2362E-001
322.0000,-6.0412E+000
323.0000,-6.9099E+000
324.0000,-1.9195E+001
325.0000,-2.0581E+001
326.0000,-1.5662E+001
327.0000,-1.8861E+001
328.0000,-2.9999E+001
329.0000,-2.9212E+001
330.0000,-4.2372E+001
331.0000,-4.0733E+001
332.0000,-4.6679E+001
333.0000,-5.2033E+001
334.0000,-2.3773E+001
335.0000,-1.9525E+001
336.0000,1.2583E+000
337.0000,7.0638E-001
338.0000,-2.3399E+000
339.0000,-4.1546E+000
340.0000,-8.9666E+000
341.0000,-6.8022E+000
342.0000,7.6692E+000
343.0000,1.5796E+001
344.0000,8.0068E+000
345.0000,7.1655E+000
346.0000,9.4692E+000
347.0000,1.6878E+000
348.0000,4.1662E+000
349.0000,2.6996E+001
350.0000,-5.0699E+000
351.0000,-7.1098E+000
352.0000,-1.1716E+001
353.0000,-1.6188E+001
354.0000,-2.0952E+001
355.0000,-3.2962E+001
356.0000,-2.5718E+001
357.0000,-2.8619E+001
358.0000,-2.9851E+001
359.0000,3.8340E+001
360.0000,4.8554E+001
361.0000,5.4315E+001
362.0000,3.8915E+001
363.0000,2.9326E+001
364.0000,1.2757E+001
365.0000,1.0262E+000
