!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-04-21 00:00:00	5.5354385	0	101321.38	8.0136047	80.765182	0.84422484	153.12796	1.7269738e-08
1979-04-22 00:00:00	6.7086406	0	100467.85	7.6787659	85.740067	1	51.38187	1.0135274e-07
1979-04-23 00:00:00	6.6774473	0	99190.414	7.0960327	89.499603	0.96597852	114.01266	7.9865997e-08
1979-04-24 00:00:00	7.2542949	0	100540.53	6.3749023	75.498581	0.73837378	190.66942	9.4619236e-09
1979-04-25 00:00:00	6.4438581	0	101557.01	6.6090942	81.644341	0.86026371	153.93445	2.0873002e-08
1979-04-26 00:00:00	4.7251081	0	102693.5	7.4624268	65.616699	0.69810388	205.74783	0
1979-04-27 00:00:00	4.079823	0	103183.33	7.8558594	87.675568	0.98010023	112.38631	8.0211476e-09
1979-04-28 00:00:00	6.6259432	0	102597.37	9.170343	91.478249	0.98339337	111.18378	2.7644344e-08
1979-04-29 00:00:00	7.0795498	0	101631.99	8.4970642	85.787163	0.90776954	142.0063	1.3651996e-08
1979-04-30 00:00:00	5.8700171	0	101485.2	5.5918518	63.362858	0.82753927	174.80511	7.8523099e-09
1979-05-01 00:00:00	4.6921649	0	100815.17	3.7028748	78.75267	0.8501489	167.8436	6.8449786e-08
1979-05-02 00:00:00	5.2161279	0	101164.86	2.6273438	72.429947	0.66993026	227.16914	2.545672e-08
1979-05-03 00:00:00	4.1873226	0	101342.74	2.6550537	75.077003	0.71980302	214.05008	2.4520492e-08
1979-05-04 00:00:00	3.7715106	0	101865.5	3.3677612	69.993164	0.71883336	216.04485	1.1191669e-08
1979-05-05 00:00:00	4.2294698	0	102287.66	4.5821167	64.497314	0.67590161	230.30566	0
1979-05-06 00:00:00	4.365468	0	102308.73	5.3453918	74.298256	1	99.695747	5.3755208e-08
1979-05-07 00:00:00	3.7893341	0	101537.64	7.2942749	94.876877	1	49.903313	1.7066386e-07
1979-05-08 00:00:00	3.449321	0	101559.38	7.3374573	94.165016	1	45.280922	1.7329727e-07
1979-05-09 00:00:00	2.7185545	0	102145.69	7.7896362	70.46434	0.71078829	223.34082	1.2128758e-08
1979-05-10 00:00:00	6.5221834	0	101704.97	9.5354248	95.633774	1	36.286366	1.891727e-07
1979-05-11 00:00:00	5.8824739	0	102009.51	11.062128	94.814201	1	71.538406	4.2433439e-08
1979-05-12 00:00:00	5.3359523	0	102569.43	10.577417	85.840942	0.89733618	158.19276	1.2220109e-08
1979-05-13 00:00:00	5.9197555	0	102445.8	11.482477	75.064423	0.52505087	275.18484	0
1979-05-14 00:00:00	4.4111075	0	102327.38	11.644678	81.859955	0.74607395	213.87781	3.9722836e-09
1979-05-15 00:00:00	2.7060161	0	101587.4	9.4453979	81.068451	0.89736619	162.03403	3.0143131e-09
1979-05-16 00:00:00	4.6688247	0	99814.352	8.1965881	83.97757	0.95179221	140.87399	9.6424505e-08
1979-05-17 00:00:00	4.6384048	0	99194.328	7.5237976	86.592827	0.84956978	182.92523	9.95437e-08
1979-05-18 00:00:00	5.1261072	0	100831.5	7.1212097	75.862221	0.82472265	194.62682	1.7650924e-08
1979-05-19 00:00:00	5.1317058	0	101357.95	6.5538574	66.900307	0.91150808	162.27898	7.2712774e-09
1979-05-20 00:00:00	5.3932266	0	100107.39	7.4041992	83.205673	1	109.17062	1.3469308e-07
1979-05-21 00:00:00	2.5653713	0	99882.055	7.2297913	74.455406	0.84177671	190.79321	8.2390463e-08
1979-05-22 00:00:00	4.1230602	0	99934.047	7.520105	75.037979	0.77337086	216.8204	1.90882e-08
1979-05-23 00:00:00	3.6601584	0	99848.891	7.3389526	80.468399	0.79069355	210.85139	3.6070869e-08
1979-05-24 00:00:00	2.5680745	0	100081.63	7.1575256	81.549637	0.84564356	190.80399	3.2308235e-08
1979-05-25 00:00:00	2.0680413	0	100052.06	7.7013794	79.359192	0.77499411	218.02574	4.8221576e-08
1979-05-26 00:00:00	1.7274143	0	99946.883	8.2127319	76.196861	0.89609877	171.6134	1.6615202e-08
1979-05-27 00:00:00	2.6726439	0	99961.727	8.67547	75.696198	0.75181693	227.62344	4.6814988e-08
1979-05-28 00:00:00	6.9703445	0	99471.352	9.7151733	79.584305	0.71824687	238.50659	1.1035403e-07
1979-05-29 00:00:00	6.9491324	0	100058.67	10.075494	77.326408	0.75638738	226.16605	2.8205781e-08
1979-05-30 00:00:00	2.1745772	0	101200.73	10.257623	76.590462	0.70954961	242.93884	3.6317306e-08
1979-05-31 00:00:00	3.0309162	0	101421.25	9.5644165	74.623459	0.7191635	241.31107	4.0808889e-08
