Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
1979-04-06 00:00:00,136.44937,298.02017,4.5325562,84.628456,2.7805526,0.0034737647,0
1979-04-07 00:00:00,142.97957,286.82401,4.2402588,82.86158,5.5374913,0.0038026782,0.0024527669
1979-04-08 00:00:00,105.9183,290.38232,3.6944824,86.518997,5.0499802,0.0044508481,0
1979-04-09 00:00:00,165.71773,278.95438,4.2085205,79.901649,3.057878,0.0014813916,0
1979-04-10 00:00:00,91.963097,295.41455,4.0063721,80.617966,4.5434861,0.0038716742,0
1979-04-11 00:00:00,124.41222,307.23489,6.4731995,84.857735,3.5031559,0.0055163595,0
1979-04-12 00:00:00,70.60347,318.0968,7.014032,94.410294,3.9600642,0.0088970078,0
1979-04-13 00:00:00,169.7804,293.32016,7.4564148,69.233681,3.669682,0.0010256706,0
1979-04-14 00:00:00,72.260948,305.86237,6.8192993,85.684372,4.6619644,0.0090498264,0
1979-04-15 00:00:00,219.05821,274.52945,7.6086365,68.934433,2.5137806,0,0
1979-04-16 00:00:00,190.44148,290.96112,8.3360535,68.214951,2.686965,0,0
1979-04-17 00:00:00,162.87509,309.6702,8.3459717,83.272964,2.6689119,0.00013625006,0
1979-04-18 00:00:00,155.29892,319.44681,8.4202209,86.668053,3.3331742,0.00088945812,0
1979-04-19 00:00:00,56.75956,325.20285,8.0296875,91.848236,5.9553323,0.0065733619,0
1979-04-20 00:00:00,167.42383,303.37405,7.7327209,73.652939,5.4605112,0.00065246735,0
1979-04-21 00:00:00,153.12796,311.59402,8.0136047,80.765182,5.5354385,0.0014921054,0
1979-04-22 00:00:00,51.38187,321.36572,7.6787659,85.740067,6.7086406,0.0087568764,0
1979-04-23 00:00:00,114.01266,314.95306,7.0960327,89.499603,6.6774473,0.0069004221,0
1979-04-24 00:00:00,190.66942,289.60315,6.3749023,75.498581,7.2542949,0.0008175102,0
1979-04-25 00:00:00,153.93445,298.34088,6.6090942,81.644341,6.4438581,0.0018034273,0
1979-04-26 00:00:00,205.74783,278.48169,7.4624268,65.616699,4.7251081,0,0
1979-04-27 00:00:00,112.38631,312.00266,7.8558594,87.675568,4.079823,0.00069302715,0
1979-04-28 00:00:00,111.18378,335.63098,9.170343,91.478249,6.6259432,0.0023884713,0
1979-04-29 00:00:00,142.0063,328.63892,8.4970642,85.787163,7.0795498,0.0011795324,0
1979-04-30 00:00:00,174.80511,295.31195,5.5918518,63.362858,5.8700171,0.00067843957,0
1979-05-01 00:00:00,167.8436,287.79108,3.7028748,78.75267,4.6921649,0.0059140615,0
1979-05-02 00:00:00,227.16914,256.22208,2.6273438,72.429947,5.2161279,0.0021994606,0.0028535137
1979-05-03 00:00:00,214.05008,258.6543,2.6550537,75.077003,4.1873226,0.0021185705,0
1979-05-04 00:00:00,216.04485,259.49133,3.3677612,69.993164,3.7715106,0.00096696019,0
1979-05-05 00:00:00,230.30566,268.11142,4.5821167,64.497314,4.2294698,0,0
1979-05-06 00:00:00,99.695747,294.12997,5.3453918,74.298256,4.365468,0.00464445,0
1979-05-07 00:00:00,49.903313,329.98856,7.2942749,94.876877,3.7893341,0.014745357,0
1979-05-08 00:00:00,45.280922,320.63663,7.3374573,94.165016,3.449321,0.014972884,0
1979-05-09 00:00:00,223.34082,297.1203,7.7896362,70.46434,2.7185545,0.0010479247,0
