datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celcius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Sea_Level_Barometric_Pressure_pascal,Surface_Level_Barometric_Pressure_pascal,Precipitation_meterPerSecond,Snowfall_meterPerDay
1992-05-15 00:00:00,3.44297504425049,14.336328125,56.2151489257812,225.852447509766,324.934814453125,98132.015625,101513.84375,0,0
1992-05-16 00:00:00,4.84666347503662,19.725610351562,49.7056274414062,276.963684082031,348.074371337891,98186.671875,101507.7890625,0,0
1992-05-17 00:00:00,5.97686529159546,21.565209960938,57.0317878723145,212.714065551758,374.648956298828,98065.5546875,101359.8828125,6.01103674853221e-08,0
1992-05-18 00:00:00,3.96861171722412,15.186822509766,53.2970542907715,312.588714599609,313.586975097656,99002.3671875,102403.953125,0,0
1992-05-19 00:00:00,2.68520569801331,15.506616210938,51.2942047119141,315.406921386719,316.088745117188,98968.1328125,102365.390625,0,0
1992-05-20 00:00:00,2.86201047897339,19.446771240234,49.6704559326172,311.114074707031,337.531768798828,98836.1171875,102182.390625,0,0
1992-05-21 00:00:00,3.7822539806366,22.037072753906,47.2223205566406,279.550598144531,359.449645996094,98835.1953125,102150.78125,0,0
1992-05-22 00:00:00,3.31553936004639,20.648675537109,68.7567596435547,170.782806396484,376.3583984375,98562.0546875,101883.59375,1.04321217804682e-07,0
1992-05-23 00:00:00,4.21148586273193,15.388482666016,80.4333801269531,119.432991027832,362.779907226562,98423.3984375,101803.0390625,4.87968027300667e-08,0
1992-05-24 00:00:00,4.56984853744507,7.22768554687502,46.5458717346191,328.298492431641,272.978607177734,98925.140625,102421.9609375,0,0
1992-05-25 00:00:00,2.82164812088013,5.59124145507803,48.8857917785645,113.167030334473,303.351898193359,98495.7109375,101997.5078125,6.41147289570654e-09,0
1992-05-26 00:00:00,3.05866575241089,6.71334228515605,53.0405464172363,243.750381469727,309.274291992188,98301.8046875,101782.7109375,1.98407042262261e-09,0
1992-05-27 00:00:00,1.71172678470612,9.129388427734,39.7159271240234,310.844787597656,280.993347167969,98380.4609375,101834.84375,0,0
1992-05-28 00:00:00,1.36996877193451,12.000024414062,40.1856803894043,267.716125488281,302.037078857422,98477.90625,101900.5078125,0,0
1992-05-29 00:00:00,2.25985050201416,14.02822265625,34.7745475769043,325.5302734375,301.588562011719,98520.8671875,101920.1953125,0,0
1992-05-30 00:00:00,2.76556992530823,15.207086181641,36.1338577270508,235.759872436523,325.784118652344,98225.6484375,101600.1640625,0,0
1992-05-31 00:00:00,1.62583601474762,17.190026855469,42.1098823547363,314.142883300781,324.729339599609,98475.3671875,101835.6875,0,0
1992-06-01 00:00:00,2.00630807876587,17.804193115234,41.8853950500488,206.363861083984,347.743865966797,98522.359375,101876.3984375,0,0
1992-06-02 00:00:00,1.82875895500183,17.921197509766,46.3120651245117,278.955108642578,338.377960205078,98290.75,101635.765625,0,0
1992-06-03 00:00:00,2.90989828109741,18.867730712891,40.0050048828125,318.153961181641,333.428833007812,97890.4375,101211.1484375,0,0
1992-06-04 00:00:00,2.79171204566956,18.788385009766,50.0236053466797,159.804824829102,356.06982421875,97295.859375,100596.3984375,4.11072687711567e-08,0
1992-06-05 00:00:00,2.68808841705322,18.209832763672,69.2925033569336,301.070007324219,361.468231201172,97100.328125,100401.15625,1.17741528811166e-08,0
1992-06-06 00:00:00,2.79237246513367,19.393823242188,45.2497978210449,175.895965576172,351.860046386719,97308.078125,100602.453125,4.99883344673435e-09,0
1992-06-07 00:00:00,4.12687921524048,17.130914306641,44.6126136779785,329.017181396484,330.037414550781,97827.015625,101164.703125,0,0
1992-06-08 00:00:00,2.15836501121521,16.302331542969,44.7805633544922,203.339111328125,339.522125244141,98384.78125,101751.546875,5.0057810767612e-09,0
1992-06-09 00:00:00,1.9372889995575,17.916375732422,50.7343254089355,197.759506225586,369.358947753906,98392.359375,101739.984375,0,0
1992-06-10 00:00:00,1.96861243247986,18.18349609375,48.0703315734863,246.145721435547,345.067199707031,98306.015625,101648.234375,0,0
1992-06-11 00:00:00,1.52348899841309,19.812463378906,49.3847274780273,258.802062988281,355.901092529297,98363.4609375,101688.90625,0,0
1992-06-12 00:00:00,1.59481072425842,21.712396240234,47.3278846740723,266.198974609375,362.508117675781,98301.5234375,101603.21875,0,0
1992-06-13 00:00:00,1.38560497760773,23.060144042969,41.5522994995117,265.028656005859,365.524353027344,97817.375,101087.40625,1.0219843716186e-08,0
1992-06-14 00:00:00,2.19156408309937,22.479516601562,52.0562973022461,220.702224731445,370.871398925781,97648.015625,100918.4609375,1.2931441233377e-08,0
1992-06-15 00:00:00,4.46922016143799,20.507501220703,51.2738037109375,231.090560913086,368.011840820312,97977.90625,101281.8046875,1.7501706679468e-08,0
1992-06-16 00:00:00,5.65831851959229,21.453759765625,46.3044738769531,268.045684814453,369.465301513672,98063.5078125,101359.8359375,2.67452628577303e-09,0
1992-06-17 00:00:00,7.6665678024292,22.718896484375,70.9729080200195,219.09065246582,398.645385742188,97102.0390625,100351.296875,1.57368849613704e-07,0
