datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Sea_Level_Barometric_Pressure_pascal,Surface_Level_Barometric_Pressure_pascal,Precipitation_meterPerSecond,Snowfall_meterPerDay
1987-10-18 00:00:00,2.24592304229736,6.43843994140605,91.3363571166992,55.1172828674316,292.766021728516,96552.984375,102185.5234375,3.76412663172232e-09,0
1987-10-19 00:00:00,2.29373168945312,5.56084594726605,97.1160354614258,35.7055931091309,300.026947021484,97072.5859375,102753.7265625,1.66485042427666e-08,0
1987-10-20 00:00:00,3.37028121948242,5.94463500976605,98.5479278564453,16.2569713592529,307.765777587891,97167.40625,102846.046875,4.31623848271556e-08,0
1987-10-21 00:00:00,3.25000858306885,4.80483398437502,98.7016906738281,23.6952629089355,300.884155273438,96886.859375,102573,3.8115798815852e-08,0
1987-10-22 00:00:00,4.11911201477051,4.447595214844,97.8731536865234,6.84185695648193,302.221252441406,96713.3828125,102396.8359375,8.43162852106616e-08,0
1987-10-23 00:00:00,2.07599258422852,2.787683105469,97.8510513305664,14.934362411499,291.52392578125,96647.9765625,102362.78125,6.21509097982198e-08,0.0187667584978045
1987-10-24 00:00:00,0.826290965080261,3.19317016601605,98.5614318847656,25.5326309204102,289.188995361328,96478.046875,102174.171875,1.30908965729759e-08,0
1987-10-25 00:00:00,1.85724186897278,0.953240966797011,94.7406463623047,52.9490699768066,258.55517578125,96463.265625,102206.59375,0,0
1987-10-26 00:00:00,1.8231645822525,1.83257446289105,93.8882293701172,44.7135581970215,272.081024169922,96989.1015625,102745.1015625,1.48638196151296e-09,0
1987-10-27 00:00:00,3.84137296676636,2.72405395507803,98.3379135131836,21.6834735870361,286.571685791016,97204.671875,102953.71875,3.57534554495942e-08,0.00473376546869986
1987-10-28 00:00:00,2.96571731567383,3.975427246094,98.5374755859375,15.0965242385864,296.768859863281,96288.875,101957.4453125,1.51087748236023e-07,0
1987-10-29 00:00:00,1.46108341217041,4.41875610351605,99.0216064453125,23.7978916168213,292.488922119141,96727.515625,102412.5078125,7.24332276149653e-08,0.0115630164218601
1987-10-30 00:00:00,1.68698799610138,1.96804199218803,99.0904846191406,9.87524318695068,287.251953125,96668.390625,102401.8828125,7.56061926949769e-08,0.0163648591842502
1987-10-31 00:00:00,2.94536638259888,2.89840087890605,97.8714904785156,11.5273275375366,284.549865722656,96103.703125,101783.96875,4.60811679658946e-08,0
1987-11-01 00:00:00,1.46545839309692,1.92403564453105,93.7560882568359,35.7243232727051,272.749267578125,96019.9765625,101716.046875,0,0
1987-11-02 00:00:00,1.96794259548187,-0.387670898437989,91.7143707275391,37.2930908203125,256.015472412109,96548.4296875,102325.9140625,0,0
1987-11-03 00:00:00,2.13545870780945,-0.152868652343955,93.4898223876953,37.9510688781738,250.376617431641,97435.2734375,103260.5390625,0,0
1987-11-04 00:00:00,2.5679714679718,1.23531494140605,92.7832107543945,34.6801834106445,258.825866699219,97679.8203125,103489.3515625,0,0
1987-11-05 00:00:00,2.63866329193115,1.61770019531201,92.5234146118164,36.0486526489258,246.43830871582,97405.453125,103190.4140625,0,0
1987-11-06 00:00:00,2.77877974510193,0.704919433594,88.6019973754883,37.3902435302734,237.273391723633,96797.4609375,102566.046875,0,0
1987-11-07 00:00:00,2.21445918083191,-0.249853515624977,93.5623626708984,25.9448699951172,249.929870605469,96084.328125,101830.9375,0,0
1987-11-08 00:00:00,1.81102812290192,-0.895422363281,95.007453918457,20.860746383667,258.376647949219,95729.859375,101469.21875,3.47071108990349e-08,0.0332278925925494
1987-11-09 00:00:00,1.31681704521179,-2.14456787109395,95.443489074707,15.0806827545166,271.372253417969,96032.359375,101817.15625,2.13859266295913e-09,0.00369548812159338
1987-11-10 00:00:00,1.46547496318817,-1.40448608398395,95.9727401733398,24.601921081543,263.677612304688,95738.15625,101489.03125,0,0
1987-11-11 00:00:00,2.2894766330719,-1.37848510742197,97.3698501586914,12.6293125152588,273.295196533203,94705.0546875,100393.5234375,2.39754554058891e-08,0.00806337251560762
1987-11-12 00:00:00,3.49629163742065,-0.161596679687989,98.79150390625,8.08950614929199,277.557403564453,92870.8125,98423.2734375,3.47878289176151e-07,0.348344494588673
1987-11-13 00:00:00,2.04032731056213,-0.458837890624977,97.0539169311523,14.1547784805298,269.594635009766,92604.203125,98147.125,1.18273906991817e-07,0.0535294760484249
1987-11-14 00:00:00,1.64834725856781,1.61586914062502,98.8762054443359,13.4124879837036,282.498657226562,93707.953125,99273.234375,7.24447672837414e-08,0.00468871693010442
1987-11-15 00:00:00,1.09111905097961,0.325311279297011,98.1351547241211,16.7647457122803,272.878143310547,94596.9296875,100242.2421875,2.33400496654212e-08,0.0105545548140071
1987-11-16 00:00:00,3.04205417633057,1.09145507812502,98.745719909668,6.85069274902344,281.167602539062,94146.8359375,99749.1640625,2.437194052618e-07,0.114923939108849
1987-11-17 00:00:00,1.85019469261169,1.14434204101605,95.1317977905273,21.0963802337646,255.262298583984,94839.4140625,100481.859375,1.51468184412806e-08,0.00687612884212285
